date,region,cases_cases,weather_temperature,weather_humidity,weather_precipitation,wastewater_viral_load,day_of_week,month,year,day,day_of_year_sin,day_of_year_cos
2020-03-07,Region_1,56.0,18.7,60.1,2.9,282.02,5,3,2020,7,0.9138076496466615,0.4061472386305789
2020-03-08,Region_1,63.0,16.2,57.9,1.0,242.06,6,3,2020,8,0.9206588168102428,0.3903682146763026
2020-03-09,Region_1,53.0,20.5,56.1,1.9,414.54,0,3,2020,9,0.9272375462179537,0.374473674486883
2020-03-10,Region_1,58.0,18.9,56.7,0.7,580.02,1,3,2020,10,0.9335418911179212,0.35846832151248087
2020-03-11,Region_1,52.0,20.7,53.5,0.9,524.22,2,3,2020,11,0.9395699859530622,0.342356891994542
2020-03-12,Region_1,62.0,16.5,54.0,3.3,827.0,3,3,2020,12,0.945320046913132,0.3261441535642696
2020-03-13,Region_1,57.0,21.2,58.3,0.5,774.52,4,3,2020,13,0.9507903724625832,0.3098349038318025
2020-03-14,Region_1,71.0,17.5,60.1,3.0,706.94,5,3,2020,14,0.9559793438440766,0.2934339689665273
2020-03-15,Region_1,58.0,20.5,55.4,0.4,1256.5862499999998,6,3,2020,15,0.9608854255574977,0.27694620226893646
2020-03-16,Region_1,64.0,18.5,46.4,2.2,635.19,0,3,2020,16,0.9655071658143364,0.2603764827344581
2020-03-17,Region_1,104.0,26.0,55.0,0.1,1178.56,1,3,2020,17,0.969843196967294,0.24372971360968387
2020-03-18,Region_1,125.0,25.5,55.8,4.9,1247.39,2,3,2020,18,0.9738922359149924,0.22701082094141847
2020-03-19,Region_1,155.0,23.0,58.3,4.9,1256.5862499999998,3,3,2020,19,0.9776530844816641,0.2102247521189836
2020-03-20,Region_1,150.0,22.7,54.2,0.2,942.38,4,3,2020,20,0.981124629771712,0.19337647441020586
2020-03-21,Region_1,155.0,22.2,53.1,0.8,1096.94,5,3,2020,21,0.984305844499033,0.17647097349152166
2020-03-22,Region_1,190.0,21.3,54.1,2.0,936.56,6,3,2020,22,0.9871957872910085,0.15951325197263655
2020-03-23,Region_1,206.0,21.9,54.8,0.6,740.58,0,3,2020,23,0.9897936029670716,0.14250832791617088
2020-03-24,Region_1,215.0,23.6,51.3,3.1,617.8,1,3,2020,24,0.992098522791769,0.12546123335273648
2020-03-25,Region_1,223.0,19.4,50.5,1.0,809.98,2,3,2020,25,0.9941098647022418,0.10837701279187609
2020-03-26,Region_1,230.0,22.3,60.4,2.6,1093.32,3,3,2020,26,0.9958270335100595,0.09126072172931188
2020-03-27,Region_1,220.0,23.9,55.9,0.5,614.31,4,3,2020,27,0.9972495210773451,0.07411742515094437
2020-03-28,Region_1,202.0,21.4,51.8,4.8,486.87,5,3,2020,28,0.998376906467142,0.056952196034039754
2020-03-29,Region_1,192.0,22.6,52.0,1.1,499.87,6,3,2020,29,0.9992088560679753,0.03977011384605572
2020-03-30,Region_1,182.0,24.9,60.2,1.5,341.83,0,3,2020,30,0.9997451236925734,0.022576263041545485
2020-03-31,Region_1,171.0,23.0,47.0,0.4,481.72,1,3,2020,31,0.9999855506507186,0.005375731557583884
2020-04-01,Region_1,163.0,25.7,51.8,2.6,457.43,2,4,2020,1,0.9999300657962057,-0.011826390691832589
2020-04-02,Region_1,186.0,27.1,52.6,1.3,256.56,3,4,2020,2,0.9995786855478958,-0.029025013321975237
2020-04-03,Region_1,144.0,29.5,47.3,0.3,177.8,4,4,2020,3,0.9989315138848577,-0.046215046983708354
2020-04-04,Region_1,101.0,25.9,53.9,0.1,379.86,5,4,2020,4,0.9979887423155984,-0.06339140486951038
2020-04-05,Region_1,94.0,22.9,49.9,0.1,415.87,6,4,2020,5,0.9967506498213929,-0.08054900421874167
2020-04-06,Region_1,100.0,28.2,54.9,0.2,421.93,0,4,2020,6,0.9952176027737294,-0.09768276782171598
2020-04-07,Region_1,82.0,26.2,48.8,3.3,397.18,1,4,2020,7,0.9933900548258936,-0.11478762552212701
2020-04-08,Region_1,88.0,25.3,56.6,1.2,486.74,2,4,2020,8,0.9912685467787256,-0.13185851571739118
2020-04-09,Region_1,62.0,26.0,54.4,0.1,341.2,3,4,2020,9,0.9888537064205885,-0.1488903868564548
2020-04-10,Region_1,55.0,27.4,46.9,1.0,407.14,4,4,2020,10,0.986146248341595,-0.16587819893463143
2020-04-11,Region_1,66.0,24.5,55.3,3.1,380.33,5,4,2020,11,0.9831469737221499,-0.1828169249850199
2020-04-12,Region_1,68.0,23.9,56.2,0.1,267.81,6,4,2020,12,0.9798567700958665,-0.1997015525660636
2020-04-13,Region_1,61.0,28.2,51.9,0.3,433.02,0,4,2020,13,0.9762766110869321,-0.21652708524481437
2020-04-14,Region_1,61.0,20.2,52.7,1.8,346.73,1,4,2020,14,0.9724075561219968,-0.23328854407545518
2020-04-15,Region_1,70.0,28.9,43.5,0.9,348.58,2,4,2020,15,0.9682507501166718,-0.2499809690726521
2020-04-16,Region_1,68.0,24.3,53.4,2.9,306.89,3,4,2020,16,0.9638074231367307,-0.26659942067929354
2020-04-17,Region_1,66.0,26.9,56.3,0.4,281.97,4,4,2020,17,0.9590788900341131,-0.28313898122818354
2020-04-18,Region_1,70.0,26.2,61.0,0.3,413.28,5,4,2020,18,0.9540665500578387,-0.2995947563972602
2020-04-19,Region_1,62.0,26.5,42.5,2.0,542.89,6,4,2020,19,0.9487718864399473,-0.31596187665790293
2020-04-20,Region_1,68.0,26.9,50.3,1.1,328.56,0,4,2020,20,0.9431964659565866,-0.33223549871590435
2020-04-21,Region_1,79.0,24.3,42.9,0.1,423.61,1,4,2020,21,0.9373419384643772,-0.3484108069446808
2020-04-22,Region_1,60.0,29.0,51.8,6.7,262.1,2,4,2020,22,0.9312100364121947,-0.3644830148102912
2020-04-23,Region_1,61.0,27.0,52.7,0.0,324.38,3,4,2020,23,0.9248025743285089,-0.38044736628785164
2020-04-24,Region_1,63.0,26.2,55.2,0.2,443.86,4,4,2020,24,0.9181214482844364,-0.39629913726891813
2020-04-25,Region_1,79.0,28.2,56.4,2.6,313.1,5,4,2020,25,0.9111686353326631,-0.41203363695942635
2020-04-26,Region_1,83.0,29.0,52.2,1.4,277.33,6,4,2020,26,0.9039461929224011,-0.42764620926777464
2020-04-27,Region_1,79.0,30.3,54.1,1.5,293.36,0,4,2020,27,0.8964562582905575,-0.44313223418263453
2020-04-28,Region_1,69.0,28.4,54.8,0.5,332.59,1,4,2020,28,0.8887010478292915,-0.45848712914008766
2020-04-29,Region_1,61.0,24.9,50.0,0.4,298.37,2,4,2020,29,0.8806828564301475,-0.47370635037968
2020-04-30,Region_1,51.0,23.7,58.0,0.7,449.42,3,4,2020,30,0.8724040568049612,-0.48878539428899265
2020-05-01,Region_1,68.0,26.4,58.9,1.4,336.44,4,5,2020,1,0.8638670987837349,-0.503719798736334
2020-05-02,Region_1,66.0,27.8,50.8,0.3,395.49,5,5,2020,2,0.8550745085896932,-0.518505144391157
2020-05-03,Region_1,57.0,27.3,58.4,1.0,378.62,6,5,2020,3,0.8460288880917339,-0.533137056031809
2020-05-04,Region_1,75.0,25.9,55.4,0.7,356.18,0,5,2020,4,0.8367329140344921,-0.5476112038402312
2020-05-05,Region_1,61.0,23.7,54.1,1.2,228.24,1,5,2020,5,0.8271893372462497,-0.5619233046832195
2020-05-06,Region_1,60.0,23.7,43.0,2.4,301.27,2,5,2020,6,0.8174009818249189,-0.5760691233798758
2020-05-07,Region_1,66.0,24.9,45.8,0.3,332.78,3,5,2020,7,0.8073707443023492,-0.5900444739548627
2020-05-08,Region_1,68.0,27.7,54.9,2.6,342.62,4,5,2020,8,0.7971015927871943,-0.6038452208771035
2020-05-09,Region_1,61.0,26.7,53.3,1.1,239.77,5,5,2020,9,0.7865965660866021,-0.6174672802835514
2020-05-10,Region_1,74.0,25.6,44.8,0.9,229.17,6,5,2020,10,0.7758587728069828,-0.6309066211876704
2020-05-11,Region_1,67.0,23.7,42.9,0.7,289.88,0,5,2020,11,0.7648913904341225,-0.6441592666722685
2020-05-12,Region_1,54.0,26.2,58.0,0.6,393.24,1,5,2020,12,0.753697664392914,-0.6572212950663319
2020-05-13,Region_1,61.0,24.0,45.6,1.7,294.48,2,5,2020,13,0.742280907086982,-0.6700888411055113
2020-05-14,Region_1,66.0,24.2,46.9,0.1,339.36,3,5,2020,14,0.7306444969184916,-0.6827580970759147
2020-05-15,Region_1,58.0,27.1,58.6,0.9,335.47,4,5,2020,15,0.7187918772884232,-0.6952253139408722
2020-05-16,Region_1,58.0,22.7,46.8,0.6,221.68,5,5,2020,16,0.7067265555776158,-0.7074868024503348
2020-05-17,Region_1,56.0,24.4,54.7,1.9,290.36,6,5,2020,17,0.6944521021088763,-0.719538934232584
2020-05-18,Region_1,72.0,28.3,47.3,0.3,344.3,0,5,2020,18,0.6819721490904629,-0.7313781428679254
2020-05-19,Region_1,72.0,28.9,50.3,0.8,292.88,1,5,2020,19,0.6692903895412567,-0.7430009249440493
2020-05-20,Region_1,67.0,27.2,48.2,1.3,379.93,2,5,2020,20,0.6564105761979381,-0.7544038410927472
2020-05-21,Region_1,65.0,23.9,51.0,1.8,307.27,3,5,2020,21,0.6433365204044917,-0.765583517007675
2020-05-22,Region_1,69.0,26.0,57.1,0.3,204.23,4,5,2020,22,0.6300720909843687,-0.7765366444428655
2020-05-23,Region_1,63.0,24.4,49.1,2.2,223.26,5,5,2020,23,0.6166212130956382,-0.7872599821916922
2020-05-24,Region_1,69.0,25.2,58.4,0.5,394.18,6,5,2020,24,0.6029878670694714,-0.7977503570459932
2020-05-25,Region_1,69.0,27.6,60.7,0.7,341.69,0,5,2020,25,0.5891760872322963,-0.8080046647350754
2020-05-26,Region_1,60.0,22.9,40.7,1.7,381.22,1,5,2020,26,0.5751899607119775,-0.8180198708443174
2020-05-27,Region_1,58.0,26.6,50.9,4.1,204.28,2,5,2020,27,0.5610336262283677,-0.8277930117131022
2020-05-28,Region_1,66.0,21.6,54.6,0.1,410.36,3,5,2020,28,0.5467112728685939,-0.8373211953118121
2020-05-29,Region_1,56.0,22.7,54.7,3.5,245.57,4,5,2020,29,0.5322271388474397,-0.8466016020976267
2020-05-30,Region_1,56.0,29.3,61.1,0.1,343.47,5,5,2020,30,0.5175855102531889,-0.8556314858488706
2020-05-31,Region_1,50.0,20.5,57.7,1.8,216.72,6,5,2020,31,0.5027907197793043,-0.8644081744776648
2020-06-01,Region_1,47.0,22.3,48.3,0.5,306.36,0,6,2020,1,0.4878471454423119,-0.8729290708206411
2020-06-02,Region_1,54.0,20.9,53.2,0.9,335.6,1,6,2020,2,0.47275920928627757,-0.881191653407483
2020-06-03,Region_1,63.0,20.7,45.8,5.2,221.42,2,6,2020,3,0.4575313760742512,-0.8891934772070711
2020-06-04,Region_1,60.0,23.1,53.6,0.3,470.12,3,6,2020,4,0.44216815196707204,-0.8969321743510065
2020-06-05,Region_1,49.0,26.1,56.7,0.9,339.8,4,6,2020,5,0.42667408318992467,-0.9044054548343001
2020-06-06,Region_1,59.0,21.7,53.6,0.7,223.86,5,6,2020,6,0.4110537546870351,-0.9116111071930239
2020-06-07,Region_1,54.0,22.5,45.5,2.6,226.58,6,6,2020,7,0.3953117887649151,-0.9185469991587165
2020-06-08,Region_1,49.0,25.2,49.0,0.5,166.26,0,6,2020,8,0.37945284372454435,-0.925211078289358
2020-06-09,Region_1,60.0,19.7,49.4,2.6,185.58,1,6,2020,9,0.36348161248290634,-0.9316013725767187
2020-06-10,Region_1,63.0,25.0,61.1,0.2,386.26,2,6,2020,10,0.3474028211842774,-0.9377159910299093
2020-06-11,Region_1,57.0,19.0,51.2,2.1,344.21,3,6,2020,11,0.3312212278016865,-0.9435531242349544
2020-06-12,Region_1,53.0,23.1,56.0,3.0,214.52,4,6,2020,12,0.31494162072895193,-0.9491110448902284
2020-06-13,Region_1,54.0,22.6,54.2,0.4,189.11,5,6,2020,13,0.2985688173637202,-0.9543881083175908
2020-06-14,Region_1,62.0,21.5,52.6,1.9,237.83,6,6,2020,14,0.2821076626819194,-0.9593827529490743
2020-06-15,Region_1,53.0,22.7,73.1,6.3,322.19,0,6,2020,15,0.26556302780405594,-0.9640935007889755
2020-06-16,Region_1,51.0,23.7,52.6,8.7,279.39,1,6,2020,16,0.24893980855376657,-0.9685189578512204
2020-06-17,Region_1,57.0,20.7,57.9,0.8,252.02,2,6,2020,17,0.23224292400907015,-0.9726578145718654
2020-06-18,Region_1,53.0,17.0,44.1,2.3,255.24,3,6,2020,18,0.21547731504673012,-0.976508846196619
2020-06-19,Region_1,59.0,19.3,53.4,8.2,173.85,4,6,2020,19,0.19864794288017112,-0.9800709131432666
2020-06-20,Region_1,47.0,22.3,53.7,0.1,312.86,5,6,2020,20,0.18175978759137534,-0.9833429613388902
2020-06-21,Region_1,53.0,20.9,58.3,1.0,229.0,6,6,2020,21,0.16481784665719793,-0.9863240225317866
2020-06-22,Region_1,51.0,18.2,60.4,2.8,248.79,0,6,2020,22,0.14782713347053048,-0.9890132145779883
2020-06-23,Region_1,59.0,20.3,60.7,1.6,251.56,1,6,2020,23,0.13079267585675922,-0.9914097417023038
2020-06-24,Region_1,53.0,20.5,52.9,0.8,233.0,2,6,2020,24,0.11371951458594969,-0.9935128947338007
2020-06-25,Region_1,59.0,22.3,58.4,2.0,237.69,3,6,2020,25,0.0966127018812031,-0.9953220513156602
2020-06-26,Region_1,45.0,19.5,55.3,1.7,183.36,4,6,2020,26,0.07947729992362097,-0.9968366760893436
2020-06-27,Region_1,48.0,17.7,57.6,0.3,340.19,5,6,2020,27,0.062318379354325076,-0.998056320853012
2020-06-28,Region_1,45.0,16.1,55.5,1.3,206.0,6,6,2020,28,0.04514101777397193,-0.9989806246941579
2020-06-29,Region_1,53.0,14.0,53.8,8.5,256.32,0,6,2020,29,0.02795029824021032,-0.999609314096404
2020-06-30,Region_1,39.0,16.5,59.0,3.5,248.86,1,6,2020,30,0.01075130776352193,-0.9999422030204416
2020-07-01,Region_1,50.0,15.9,59.9,0.7,254.47,2,7,2020,1,-0.00645086419810515,-0.9999791929590823
2020-07-02,Region_1,59.0,18.9,60.0,4.7,193.23,3,7,2020,2,-0.023651127245231586,-0.9997202729664083
2020-07-03,Region_1,46.0,13.3,55.7,1.2,268.87,4,7,2020,3,-0.04084439154329611,-0.9991655196610109
2020-07-04,Region_1,52.0,15.6,51.6,0.6,198.91,5,7,2020,4,-0.05802556932878035,-0.9983150972033183
2020-07-05,Region_1,45.0,14.3,59.6,0.4,189.38,6,7,2020,5,-0.07518957641475855,-0.9971692572470178
2020-07-06,Region_1,45.0,11.8,67.9,1.9,252.41,0,7,2020,6,-0.09233133369539122,-0.9957283388645872
2020-07-07,Region_1,54.0,15.2,54.4,3.9,170.03,1,7,2020,7,-0.10944576864891556,-0.993992768446958
2020-07-08,Region_1,50.0,15.3,59.5,3.1,297.95,2,7,2020,8,-0.12652781683868314,-0.9919630595773397
2020-07-09,Region_1,38.0,16.2,56.0,2.3,238.61,3,7,2020,9,-0.1435724234118113,-0.9896398128792412
2020-07-10,Region_1,45.0,12.0,57.5,1.9,328.34,4,7,2020,10,-0.16057454459499376,-0.9870237158387383
2020-07-11,Region_1,41.0,15.1,64.4,2.0,207.66,5,7,2020,11,-0.17752914918703497,-0.984115542601034
2020-07-12,Region_1,45.0,11.4,61.2,1.1,259.69,6,7,2020,12,-0.19443122004766195,-0.9809161537413774
2020-07-13,Region_1,42.0,10.5,59.7,8.7,106.7,0,7,2020,13,-0.2112757555821793,-0.9774264960104055
2020-07-14,Region_1,35.0,13.0,66.4,5.7,188.32,1,7,2020,14,-0.2280577712215198,-0.9736476020539838
2020-07-15,Region_1,43.0,7.7,79.7,0.7,269.66,2,7,2020,15,-0.24477230089725957,-0.9695805901076308
2020-07-16,Region_1,37.0,10.1,66.5,7.2,237.83,3,7,2020,16,-0.2614143985111562,-0.965226663665613
2020-07-17,Region_1,46.0,13.4,61.9,1.0,289.87,4,7,2020,17,-0.2779791393987801,-0.9605871111248129
2020-07-18,Region_1,41.0,12.7,69.2,2.2,316.57,5,7,2020,18,-0.2944616217868012,-0.9556633054034704
2020-07-19,Region_1,45.0,10.0,58.1,2.6,253.96,6,7,2020,19,-0.3108569682435036,-0.9504567035349151
2020-07-20,Region_1,35.0,7.6,68.6,5.9,203.1,0,7,2020,20,-0.3271603271220951,-0.9449688462364056
2020-07-21,Region_1,47.0,10.2,65.3,0.5,212.89,1,7,2020,21,-0.34336687399638804,-0.939201357453208
2020-07-22,Region_1,48.0,10.5,68.1,4.4,356.15,2,7,2020,22,-0.3594718130884232,-0.9331559438780432
2020-07-23,Region_1,32.0,10.6,62.6,14.25,174.95,3,7,2020,23,-0.3754703786876202,-0.9268343944460494
2020-07-24,Region_1,41.0,7.8,60.0,1.6,230.95,4,7,2020,24,-0.3913578365610259,-0.9202385798054075
2020-07-25,Region_1,42.0,5.1,76.7,0.2,252.38,5,7,2020,25,-0.4071294853542516,-0.9133704517637858
2020-07-26,Region_1,42.0,5.2,65.8,14.25,179.22,6,7,2020,26,-0.4227806579826773,-0.9062320427107697
2020-07-27,Region_1,34.0,9.6,67.3,3.6,189.08,0,7,2020,27,-0.4383067230125192,-0.898825465016444
2020-07-28,Region_1,46.0,4.7,70.1,10.9,208.63,1,7,2020,28,-0.45370308603134424,-0.8911529104063088
2020-07-29,Region_1,40.0,7.6,74.5,1.3,185.08,2,7,2020,29,-0.46896519100763184,-0.8832166493127127
2020-07-30,Region_1,36.0,8.9,67.0,6.0,215.38,3,7,2020,30,-0.48408852163897587,-0.8750190302029955
2020-07-31,Region_1,37.0,5.8,64.7,2.9,243.11,4,7,2020,31,-0.4990686026885319,-0.8665624788845385
2020-08-01,Region_1,36.0,3.8,71.4,14.25,140.39,5,8,2020,1,-0.5139010013093103,-0.8578494977869301
2020-08-02,Region_1,46.0,7.9,59.5,1.0,238.53,6,8,2020,2,-0.5285813283559292,-0.8488826652214553
2020-08-03,Region_1,35.0,8.1,73.8,0.3,135.77,0,8,2020,3,-0.5431052396834317,-0.8396646346181327
2020-08-04,Region_1,40.0,3.4,64.6,9.0,174.12,1,8,2020,4,-0.5574684374327892,-0.8301981337405212
2020-08-05,Region_1,36.0,6.5,66.2,11.9,131.87,2,8,2020,5,-0.5716666713027052,-0.8204859638785327
2020-08-06,Region_1,33.0,4.4,66.4,7.4,217.19,3,8,2020,6,-0.5856957398073508,-0.8105309990194823
2020-08-07,Region_1,34.0,1.8,68.9,10.9,139.5,4,8,2020,7,-0.5995514915196489,-0.8003361849976323
2020-08-08,Region_1,28.0,5.7,54.7,2.5,178.29,5,8,2020,8,-0.6132298262997502,-0.7899045386224707
2020-08-09,Region_1,40.0,-0.1,68.1,7.4,162.86,6,8,2020,9,-0.6267266965083301,-0.7792391467859886
2020-08-10,Region_1,31.0,6.0,65.7,5.6,160.69,0,8,2020,10,-0.6400381082043503,-0.7683431655492202
2020-08-11,Region_1,32.0,5.2,71.4,1.9,144.44,1,8,2020,11,-0.65316012232693,-0.7572198192083127
2020-08-12,Region_1,31.0,3.0,69.6,0.7,167.6,2,8,2020,12,-0.666088855860977,-0.7458723993404063
2020-08-13,Region_1,39.0,5.9,72.1,14.25,162.64,3,8,2020,13,-0.6788204829862355,-0.734304263829602
