date,region,temperature,humidity,precipitation
2020-02-15,Region_1,12.9,64.7,4.2
2020-02-16,Region_1,14.2,55.6,1.9
2020-02-17,Region_1,11.1,68.8,11.2
2020-02-18,Region_1,13.0,59.1,5.8
2020-02-19,Region_1,12.1,53.9,3.3
2020-02-20,Region_1,10.6,64.4,0.4
2020-02-21,Region_1,15.9,67.4,0.4
2020-02-22,Region_1,18.4,67.6,2.2
2020-02-23,Region_1,14.0,55.7,0.8
2020-02-24,Region_1,11.8,57.5,4.3
2020-02-25,Region_1,16.1,55.4,0.0
2020-02-26,Region_1,13.4,61.8,0.7
2020-02-27,Region_1,18.2,61.0,6.9
2020-02-28,Region_1,19.5,53.1,9.0
2020-02-29,Region_1,17.5,55.8,2.5
2020-03-01,Region_1,14.7,57.4,0.9
2020-03-02,Region_1,19.1,63.6,4.5
2020-03-03,Region_1,19.9,61.8,3.3
2020-03-04,Region_1,15.6,65.9,5.9
2020-03-05,Region_1,17.8,62.6,4.8
2020-03-06,Region_1,18.6,57.0,6.1
2020-03-07,Region_1,18.7,60.1,2.9
2020-03-08,Region_1,16.2,57.9,1.0
2020-03-09,Region_1,20.5,56.1,1.9
2020-03-10,Region_1,18.9,56.7,0.7
2020-03-11,Region_1,20.7,53.5,0.9
2020-03-12,Region_1,16.5,54.0,3.3
2020-03-13,Region_1,21.2,58.3,0.5
2020-03-14,Region_1,17.5,60.1,3.0
2020-03-15,Region_1,20.5,55.4,0.4
2020-03-16,Region_1,18.5,46.4,2.2
2020-03-17,Region_1,26.0,55.0,0.1
2020-03-18,Region_1,25.5,55.8,4.9
2020-03-19,Region_1,23.0,58.3,4.9
2020-03-20,Region_1,22.7,54.2,0.2
2020-03-21,Region_1,22.2,53.1,0.8
2020-03-22,Region_1,21.3,54.1,2.0
2020-03-23,Region_1,21.9,54.8,0.6
2020-03-24,Region_1,23.6,51.3,3.1
2020-03-25,Region_1,19.4,50.5,1.0
2020-03-26,Region_1,22.3,60.4,2.6
2020-03-27,Region_1,23.9,55.9,0.5
2020-03-28,Region_1,21.4,51.8,4.8
2020-03-29,Region_1,22.6,52.0,1.1
2020-03-30,Region_1,24.9,60.2,1.5
2020-03-31,Region_1,23.0,47.0,0.4
2020-04-01,Region_1,25.7,51.8,2.6
2020-04-02,Region_1,27.1,52.6,1.3
2020-04-03,Region_1,29.5,47.3,0.3
2020-04-04,Region_1,25.9,53.9,0.1
2020-04-05,Region_1,22.9,49.9,0.1
2020-04-06,Region_1,28.2,54.9,0.2
2020-04-07,Region_1,26.2,48.8,3.3
2020-04-08,Region_1,25.3,56.6,1.2
2020-04-09,Region_1,26.0,54.4,0.1
2020-04-10,Region_1,27.4,46.9,1.0
2020-04-11,Region_1,24.5,55.3,3.1
2020-04-12,Region_1,23.9,56.2,0.1
2020-04-13,Region_1,28.2,51.9,0.3
2020-04-14,Region_1,20.2,52.7,1.8
2020-04-15,Region_1,28.9,43.5,0.9
2020-04-16,Region_1,24.3,53.4,2.9
2020-04-17,Region_1,26.9,56.3,0.4
2020-04-18,Region_1,26.2,61.0,0.3
2020-04-19,Region_1,26.5,42.5,2.0
2020-04-20,Region_1,26.9,50.3,1.1
2020-04-21,Region_1,24.3,42.9,0.1
2020-04-22,Region_1,29.0,51.8,6.7
2020-04-23,Region_1,27.0,52.7,0.0
2020-04-24,Region_1,26.2,55.2,0.2
2020-04-25,Region_1,28.2,56.4,2.6
2020-04-26,Region_1,29.0,52.2,1.4
2020-04-27,Region_1,30.3,54.1,1.5
2020-04-28,Region_1,28.4,54.8,0.5
2020-04-29,Region_1,24.9,50.0,0.4
2020-04-30,Region_1,23.7,58.0,0.7
2020-05-01,Region_1,26.4,58.9,1.4
2020-05-02,Region_1,27.8,50.8,0.3
2020-05-03,Region_1,27.3,58.4,1.0
2020-05-04,Region_1,25.9,55.4,0.7
2020-05-05,Region_1,23.7,54.1,1.2
2020-05-06,Region_1,23.7,43.0,2.4
2020-05-07,Region_1,24.9,45.8,0.3
2020-05-08,Region_1,27.7,54.9,2.6
2020-05-09,Region_1,26.7,53.3,1.1
2020-05-10,Region_1,25.6,44.8,0.9
2020-05-11,Region_1,23.7,42.9,0.7
2020-05-12,Region_1,26.2,58.0,0.6
2020-05-13,Region_1,24.0,45.6,1.7
2020-05-14,Region_1,24.2,46.9,0.1
2020-05-15,Region_1,27.1,58.6,0.9
2020-05-16,Region_1,22.7,46.8,0.6
2020-05-17,Region_1,24.4,54.7,1.9
2020-05-18,Region_1,28.3,47.3,0.3
2020-05-19,Region_1,28.9,50.3,0.8
2020-05-20,Region_1,27.2,48.2,1.3
2020-05-21,Region_1,23.9,51.0,1.8
2020-05-22,Region_1,26.0,57.1,0.3
2020-05-23,Region_1,24.4,49.1,2.2
2020-05-24,Region_1,25.2,58.4,0.5
2020-05-25,Region_1,27.6,60.7,0.7
2020-05-26,Region_1,22.9,40.7,1.7
2020-05-27,Region_1,26.6,50.9,4.1
2020-05-28,Region_1,21.6,54.6,0.1
2020-05-29,Region_1,22.7,54.7,3.5
2020-05-30,Region_1,29.3,61.1,0.1
2020-05-31,Region_1,20.5,57.7,1.8
2020-06-01,Region_1,22.3,48.3,0.5
2020-06-02,Region_1,20.9,53.2,0.9
2020-06-03,Region_1,20.7,45.8,5.2
2020-06-04,Region_1,23.1,53.6,0.3
2020-06-05,Region_1,26.1,56.7,0.9
2020-06-06,Region_1,21.7,53.6,0.7
2020-06-07,Region_1,22.5,45.5,2.6
2020-06-08,Region_1,25.2,49.0,0.5
2020-06-09,Region_1,19.7,49.4,2.6
2020-06-10,Region_1,25.0,61.1,0.2
2020-06-11,Region_1,19.0,51.2,2.1
2020-06-12,Region_1,23.1,56.0,3.0
2020-06-13,Region_1,22.6,54.2,0.4
2020-06-14,Region_1,21.5,52.6,1.9
2020-06-15,Region_1,22.7,73.1,6.3
2020-06-16,Region_1,23.7,52.6,8.7
2020-06-17,Region_1,20.7,57.9,0.8
2020-06-18,Region_1,17.0,44.1,2.3
2020-06-19,Region_1,19.3,53.4,8.2
2020-06-20,Region_1,22.3,53.7,0.1
2020-06-21,Region_1,20.9,58.3,1.0
2020-06-22,Region_1,18.2,60.4,2.8
2020-06-23,Region_1,20.3,60.7,1.6
2020-06-24,Region_1,20.5,52.9,0.8
2020-06-25,Region_1,22.3,58.4,2.0
2020-06-26,Region_1,19.5,55.3,1.7
2020-06-27,Region_1,17.7,57.6,0.3
2020-06-28,Region_1,16.1,55.5,1.3
2020-06-29,Region_1,14.0,53.8,8.5
2020-06-30,Region_1,16.5,59.0,3.5
2020-07-01,Region_1,15.9,59.9,0.7
2020-07-02,Region_1,18.9,60.0,4.7
2020-07-03,Region_1,13.3,55.7,1.2
2020-07-04,Region_1,15.6,51.6,0.6
2020-07-05,Region_1,14.3,59.6,0.4
2020-07-06,Region_1,11.8,67.9,1.9
2020-07-07,Region_1,15.2,54.4,3.9
2020-07-08,Region_1,15.3,59.5,3.1
2020-07-09,Region_1,16.2,56.0,2.3
2020-07-10,Region_1,12.0,57.5,1.9
2020-07-11,Region_1,15.1,64.4,2.0
2020-07-12,Region_1,11.4,61.2,1.1
2020-07-13,Region_1,10.5,59.7,8.7
2020-07-14,Region_1,13.0,66.4,5.7
2020-07-15,Region_1,7.7,79.7,0.7
2020-07-16,Region_1,10.1,66.5,7.2
2020-07-17,Region_1,13.4,61.9,1.0
2020-07-18,Region_1,12.7,69.2,2.2
2020-07-19,Region_1,10.0,58.1,2.6
2020-07-20,Region_1,7.6,68.6,5.9
2020-07-21,Region_1,10.2,65.3,0.5
2020-07-22,Region_1,10.5,68.1,4.4
2020-07-23,Region_1,10.6,62.6,15.4
2020-07-24,Region_1,7.8,60.0,1.6
2020-07-25,Region_1,5.1,76.7,0.2
2020-07-26,Region_1,5.2,65.8,15.5
2020-07-27,Region_1,9.6,67.3,3.6
2020-07-28,Region_1,4.7,70.1,10.9
2020-07-29,Region_1,7.6,74.5,1.3
2020-07-30,Region_1,8.9,67.0,6.0
2020-07-31,Region_1,5.8,64.7,2.9
2020-08-01,Region_1,3.8,71.4,23.7
2020-08-02,Region_1,7.9,59.5,1.0
2020-08-03,Region_1,8.1,73.8,0.3
2020-08-04,Region_1,3.4,64.6,9.0
2020-08-05,Region_1,6.5,66.2,11.9
2020-08-06,Region_1,4.4,66.4,7.4
2020-08-07,Region_1,1.8,68.9,10.9
2020-08-08,Region_1,5.7,54.7,2.5
2020-08-09,Region_1,-0.1,68.1,7.4
2020-08-10,Region_1,6.0,65.7,5.6
2020-08-11,Region_1,5.2,71.4,1.9
2020-08-12,Region_1,3.0,69.6,0.7
2020-08-13,Region_1,5.9,72.1,30.3
2020-08-14,Region_1,-0.0,70.3,0.1
2020-08-15,Region_1,1.2,79.8,13.7
2020-08-16,Region_1,3.0,75.5,5.8
2020-08-17,Region_1,3.2,75.4,0.5
2020-08-18,Region_1,2.4,73.6,17.4
2020-08-19,Region_1,-1.1,73.2,6.4
2020-08-20,Region_1,2.1,68.8,19.2
2020-08-21,Region_1,2.1,76.5,3.8
2020-08-22,Region_1,-2.9,76.5,0.7
2020-08-23,Region_1,-0.1,70.8,6.8
2020-08-24,Region_1,-0.8,76.6,2.8
2020-08-25,Region_1,-1.9,72.2,9.4
2020-08-26,Region_1,-6.7,74.0,6.8
2020-08-27,Region_1,-1.3,79.7,2.0
2020-08-28,Region_1,-1.5,75.8,5.2
2020-08-29,Region_1,1.1,76.1,4.1
2020-08-30,Region_1,-5.5,77.8,3.1
2020-08-31,Region_1,-2.2,83.1,2.3
2020-09-01,Region_1,-1.2,76.4,29.9
2020-09-02,Region_1,-6.4,77.7,4.5
2020-09-03,Region_1,-2.6,74.3,17.7
2020-09-04,Region_1,-5.3,79.5,8.4
2020-09-05,Region_1,-3.3,74.2,16.4
2020-09-06,Region_1,-7.1,69.2,1.5
2020-09-07,Region_1,-5.4,80.6,14.6
2020-09-08,Region_1,-5.8,85.0,0.2
2020-09-09,Region_1,-7.4,80.3,15.4
2020-09-10,Region_1,-6.0,77.1,7.5
2020-09-11,Region_1,-8.3,80.3,4.5
2020-09-12,Region_1,-6.8,78.0,9.9
2020-09-13,Region_1,-2.9,78.4,2.9
2020-09-14,Region_1,-8.0,79.9,1.4
2020-09-15,Region_1,-9.3,81.6,9.6
2020-09-16,Region_1,-9.0,81.2,8.5
2020-09-17,Region_1,-8.0,77.3,23.9
2020-09-18,Region_1,-8.7,82.5,1.7
2020-09-19,Region_1,-7.4,80.4,7.2
2020-09-20,Region_1,-8.5,81.1,6.1
2020-09-21,Region_1,-8.8,69.6,1.2
2020-09-22,Region_1,-6.4,78.5,4.0
2020-09-23,Region_1,-8.0,77.8,15.6
2020-09-24,Region_1,-9.8,82.7,0.5
2020-09-25,Region_1,-7.7,78.3,9.5
2020-09-26,Region_1,-11.4,84.4,40.7
2020-09-27,Region_1,-7.6,85.7,11.1
2020-09-28,Region_1,-8.4,75.1,5.0
2020-09-29,Region_1,-9.4,90.3,1.8
2020-09-30,Region_1,-9.8,81.8,5.0
2020-10-01,Region_1,-7.6,81.9,15.6
2020-10-02,Region_1,-8.2,84.7,1.9
2020-10-03,Region_1,-14.7,84.2,3.6
2020-10-04,Region_1,-12.6,80.7,4.2
2020-10-05,Region_1,-10.5,83.0,2.9
2020-10-06,Region_1,-10.9,94.4,2.4
2020-10-07,Region_1,-11.2,84.9,13.6
2020-10-08,Region_1,-11.1,78.0,26.1
2020-10-09,Region_1,-16.2,84.5,7.2
2020-10-10,Region_1,-12.9,83.7,2.3
2020-10-11,Region_1,-6.7,78.5,1.7
2020-10-12,Region_1,-9.5,91.3,0.7
2020-10-13,Region_1,-7.9,87.8,4.5
2020-10-14,Region_1,-14.2,83.8,3.5
2020-10-15,Region_1,-10.3,76.2,24.4
2020-10-16,Region_1,-12.4,83.0,2.1
2020-10-17,Region_1,-12.6,90.1,2.5
2020-10-18,Region_1,-13.3,80.4,3.3
2020-10-19,Region_1,-11.3,80.4,5.9
2020-10-20,Region_1,-12.6,90.8,9.8
2020-10-21,Region_1,-9.8,83.5,2.8
2020-10-22,Region_1,-14.9,77.9,0.5
2020-10-23,Region_1,-11.7,77.2,1.6
2020-10-24,Region_1,-15.3,85.6,2.4
2020-10-25,Region_1,-12.4,70.9,18.7
2020-10-26,Region_1,-14.4,88.9,9.4
2020-10-27,Region_1,-10.8,88.4,13.2
2020-10-28,Region_1,-13.3,87.7,15.6
2020-10-29,Region_1,-13.8,87.6,7.7
2020-10-30,Region_1,-12.4,86.5,22.5
2020-10-31,Region_1,-14.5,94.3,6.4
2020-11-01,Region_1,-13.7,79.9,34.0
2020-11-02,Region_1,-9.2,91.9,3.9
2020-11-03,Region_1,-10.7,83.9,7.8
2020-11-04,Region_1,-12.2,82.6,11.8
2020-11-05,Region_1,-14.7,85.5,32.7
2020-11-06,Region_1,-11.6,81.8,2.8
2020-11-07,Region_1,-12.4,93.5,2.0
2020-11-08,Region_1,-16.7,80.9,0.7
2020-11-09,Region_1,-12.1,92.9,2.1
2020-11-10,Region_1,-10.9,82.9,6.7
2020-11-11,Region_1,-13.9,83.0,11.5
2020-11-12,Region_1,-9.1,90.7,4.3
2020-11-13,Region_1,-11.3,92.9,3.2
2020-11-14,Region_1,-12.1,81.5,11.3
2020-11-15,Region_1,-12.3,72.4,3.5
2020-11-16,Region_1,-11.1,85.5,10.0
2020-11-17,Region_1,-9.1,85.2,45.3
2020-11-18,Region_1,-11.7,85.6,29.9
2020-11-19,Region_1,-13.1,94.2,12.9
2020-11-20,Region_1,-12.4,86.8,0.3
2020-11-21,Region_1,-9.1,78.0,14.7
2020-11-22,Region_1,-10.2,82.8,1.5
2020-11-23,Region_1,-11.0,85.0,5.4
2020-11-24,Region_1,-9.9,75.0,25.3
2020-11-25,Region_1,-13.3,70.0,14.3
2020-11-26,Region_1,-13.3,89.0,34.0
2020-11-27,Region_1,-10.2,76.0,34.1
2020-11-28,Region_1,-7.6,74.8,7.0
2020-11-29,Region_1,-7.4,81.5,9.7
2020-11-30,Region_1,-9.1,73.2,4.7
2020-12-01,Region_1,-9.7,85.6,41.2
2020-12-02,Region_1,-9.1,84.6,0.9
2020-12-03,Region_1,-10.2,79.4,29.2
2020-12-04,Region_1,-8.2,72.6,9.5
2020-12-05,Region_1,-9.0,79.6,14.0
2020-12-06,Region_1,-7.7,75.5,17.8
2020-12-07,Region_1,-5.9,79.8,11.9
2020-12-08,Region_1,-10.7,73.5,5.9
2020-12-09,Region_1,-9.4,71.0,1.2
2020-12-10,Region_1,-6.0,79.8,1.3
2020-12-11,Region_1,-10.9,79.0,5.1
2020-12-12,Region_1,-6.8,79.9,2.3
2020-12-13,Region_1,-6.2,76.4,2.6
2020-12-14,Region_1,-5.9,85.7,0.2
2020-12-15,Region_1,-8.9,78.9,10.4
2020-12-16,Region_1,-4.7,80.0,1.3
2020-12-17,Region_1,-5.0,69.7,7.5
2020-12-18,Region_1,-5.1,90.3,6.4
2020-12-19,Region_1,-5.9,87.6,12.7
2020-12-20,Region_1,-4.9,78.6,0.8
2020-12-21,Region_1,-3.9,92.8,2.0
2020-12-22,Region_1,-7.5,79.0,36.3
2020-12-23,Region_1,-3.5,76.0,7.7
2020-12-24,Region_1,-5.7,75.7,17.7
2020-12-25,Region_1,-3.8,79.9,3.1
2020-12-26,Region_1,0.8,72.7,1.7
2020-12-27,Region_1,-3.0,74.6,0.4
2020-12-28,Region_1,-4.8,75.7,2.0
2020-12-29,Region_1,-5.1,85.3,2.9
2020-12-30,Region_1,-2.8,76.2,8.5
2020-12-31,Region_1,-6.0,71.4,4.7
2021-01-01,Region_1,0.0,80.9,3.1
2021-01-02,Region_1,-4.5,72.4,2.9
2021-01-03,Region_1,-1.8,68.5,7.5
2021-01-04,Region_1,-3.2,76.8,18.3
2021-01-05,Region_1,-2.9,70.0,9.2
2021-01-06,Region_1,0.8,68.0,5.7
2021-01-07,Region_1,-2.6,81.3,5.8
2021-01-08,Region_1,-3.6,67.2,2.0
2021-01-09,Region_1,-0.8,70.6,3.0
2021-01-10,Region_1,0.2,74.1,2.9
2021-01-11,Region_1,0.9,71.4,7.7
2021-01-12,Region_1,2.3,76.2,10.7
2021-01-13,Region_1,0.6,82.4,0.7
2021-01-14,Region_1,4.8,77.3,0.2
2021-01-15,Region_1,1.6,80.5,0.1
2021-01-16,Region_1,4.9,80.0,0.9
2021-01-17,Region_1,2.4,70.3,9.4
2021-01-18,Region_1,4.1,65.9,0.5
2021-01-19,Region_1,4.5,69.1,3.0
2021-01-20,Region_1,5.1,70.1,3.9
2021-01-21,Region_1,3.9,72.6,2.0
2021-01-22,Region_1,5.6,66.9,4.8
2021-01-23,Region_1,4.8,69.4,6.7
2021-01-24,Region_1,0.6,64.3,4.6
2021-01-25,Region_1,3.9,72.8,2.2
2021-01-26,Region_1,6.4,67.0,4.3
2021-01-27,Region_1,7.3,65.3,5.0
2021-01-28,Region_1,6.1,74.4,0.8
2021-01-29,Region_1,8.7,70.8,35.0
2021-01-30,Region_1,2.1,69.0,1.4
2021-01-31,Region_1,7.9,63.0,7.1
2021-02-01,Region_1,10.1,76.6,3.1
2021-02-02,Region_1,6.9,72.5,1.4
2021-02-03,Region_1,9.7,64.6,1.0
2021-02-04,Region_1,9.0,68.1,4.3
2021-02-05,Region_1,8.1,66.5,5.5
2021-02-06,Region_1,9.4,65.9,15.7
2021-02-07,Region_1,9.9,63.1,0.7
2021-02-08,Region_1,11.1,63.1,0.1
2021-02-09,Region_1,9.4,62.3,4.7
2021-02-10,Region_1,11.0,59.8,2.0
2021-02-11,Region_1,10.7,67.2,0.4
2021-02-12,Region_1,9.2,62.1,9.2
2021-02-13,Region_1,8.7,60.9,0.4
2021-02-14,Region_1,14.1,65.3,10.8
2021-02-15,Region_1,14.4,62.4,4.9
2021-02-16,Region_1,11.4,72.7,2.3
2021-02-17,Region_1,11.4,67.6,0.5
2021-02-18,Region_1,12.0,71.3,3.6
2021-02-19,Region_1,14.3,53.9,6.5
2021-02-20,Region_1,12.7,61.6,1.0
2021-02-21,Region_1,12.3,57.5,4.1
2021-02-22,Region_1,12.1,58.6,1.7
2021-02-23,Region_1,14.0,59.8,5.2
2021-02-24,Region_1,12.8,59.6,1.9
2021-02-25,Region_1,16.9,65.6,0.9
2021-02-26,Region_1,16.8,53.3,3.9
2021-02-27,Region_1,14.2,52.7,0.0
2021-02-28,Region_1,14.9,67.9,1.3
2021-03-01,Region_1,19.5,63.5,1.5
2021-03-02,Region_1,13.8,63.0,5.5
2021-03-03,Region_1,14.2,62.8,3.9
2021-03-04,Region_1,22.2,64.0,1.4
2021-03-05,Region_1,16.2,48.9,5.0
2021-03-06,Region_1,20.5,60.0,0.3
2021-03-07,Region_1,16.5,60.8,2.8
2021-03-08,Region_1,18.8,58.3,7.4
2021-03-09,Region_1,20.9,51.0,4.8
2021-03-10,Region_1,17.0,53.8,1.8
2021-03-11,Region_1,20.9,59.9,3.7
2021-03-12,Region_1,21.3,60.4,0.2
2021-03-13,Region_1,22.0,61.0,1.0
2021-03-14,Region_1,22.3,63.6,8.5
2021-03-15,Region_1,21.3,53.6,2.1
2021-03-16,Region_1,19.2,50.8,2.9
2021-03-17,Region_1,18.8,56.4,2.0
2021-03-18,Region_1,22.4,55.5,4.4
2021-03-19,Region_1,27.0,57.2,2.5
2021-03-20,Region_1,19.6,49.6,0.3
2021-03-21,Region_1,20.7,55.1,12.4
2021-03-22,Region_1,22.9,57.9,0.3
2021-03-23,Region_1,22.1,47.4,2.5
2021-03-24,Region_1,19.8,60.6,11.2
2021-03-25,Region_1,22.8,55.2,3.1
2021-03-26,Region_1,19.0,56.6,0.5
2021-03-27,Region_1,21.7,58.3,0.3
2021-03-28,Region_1,24.3,52.2,0.3
2021-03-29,Region_1,26.0,53.9,0.1
2021-03-30,Region_1,21.7,50.5,1.6
2021-03-31,Region_1,24.8,52.2,1.5
2021-04-01,Region_1,25.2,48.1,2.3
2021-04-02,Region_1,23.8,50.8,3.2
2021-04-03,Region_1,23.7,51.4,0.2
2021-04-04,Region_1,22.5,55.5,0.6
2021-04-05,Region_1,24.9,50.7,1.0
2021-04-06,Region_1,24.3,42.5,1.0
2021-04-07,Region_1,25.8,52.6,0.8
2021-04-08,Region_1,24.2,57.5,0.8
2021-04-09,Region_1,25.9,44.9,0.1
2021-04-10,Region_1,24.2,49.6,1.3
2021-04-11,Region_1,26.9,53.7,0.1
2021-04-12,Region_1,21.9,55.4,1.0
2021-04-13,Region_1,22.1,46.5,4.4
2021-04-14,Region_1,25.4,49.5,0.4
2021-04-15,Region_1,25.5,47.8,1.6
2021-04-16,Region_1,27.0,52.0,4.4
2021-04-17,Region_1,26.2,51.9,0.3
2021-04-18,Region_1,26.2,48.8,1.9
2021-04-19,Region_1,26.7,47.2,1.1
2021-04-20,Region_1,25.7,42.6,0.8
2021-04-21,Region_1,25.7,44.4,2.6
2021-04-22,Region_1,28.3,45.6,0.1
2021-04-23,Region_1,26.9,53.5,0.7
2021-04-24,Region_1,25.8,55.9,0.1
2021-04-25,Region_1,27.6,53.8,1.4
2021-04-26,Region_1,25.4,50.0,1.0
2021-04-27,Region_1,29.7,50.2,1.7
2021-04-28,Region_1,26.9,47.3,0.5
2021-04-29,Region_1,23.9,56.3,3.1
2021-04-30,Region_1,26.2,52.5,0.8
2021-05-01,Region_1,23.5,55.9,0.2
2021-05-02,Region_1,25.6,54.2,0.2
2021-05-03,Region_1,28.3,56.8,1.4
2021-05-04,Region_1,28.3,54.5,1.5
2021-05-05,Region_1,25.5,45.5,0.0
2021-05-06,Region_1,26.5,47.9,0.7
2021-05-07,Region_1,27.5,37.5,0.3
2021-05-08,Region_1,28.2,57.7,2.0
2021-05-09,Region_1,25.5,47.3,0.0
2021-05-10,Region_1,25.6,47.6,0.1
2021-05-11,Region_1,29.7,45.1,1.3
2021-05-12,Region_1,24.0,44.0,0.2
2021-05-13,Region_1,28.2,55.7,0.6
2021-05-14,Region_1,27.3,53.4,0.2
2021-05-15,Region_1,28.9,52.8,0.1
2021-05-16,Region_1,25.3,50.0,0.1
2021-05-17,Region_1,27.1,47.3,0.4
2021-05-18,Region_1,23.1,56.3,0.9
2021-05-19,Region_1,24.5,60.8,2.2
2021-05-20,Region_1,23.2,46.7,0.0
2021-05-21,Region_1,25.4,52.6,2.4
2021-05-22,Region_1,27.8,48.1,5.0
2021-05-23,Region_1,24.6,55.2,0.6
2021-05-24,Region_1,24.9,50.3,1.2
2021-05-25,Region_1,25.6,52.0,0.2
2021-05-26,Region_1,25.5,58.1,2.1
2021-05-27,Region_1,25.6,53.9,0.5
2021-05-28,Region_1,24.8,61.7,1.0
2021-05-29,Region_1,25.7,47.7,1.0
2021-05-30,Region_1,22.5,48.8,1.0
2021-05-31,Region_1,21.4,49.9,0.2
2021-06-01,Region_1,27.1,50.4,0.9
2021-06-02,Region_1,23.5,50.8,0.2
2021-06-03,Region_1,24.7,64.9,2.9
2021-06-04,Region_1,25.2,60.0,1.5
2021-06-05,Region_1,23.7,43.2,1.3
2021-06-06,Region_1,25.6,48.0,1.6
2021-06-07,Region_1,24.3,53.6,3.2
2021-06-08,Region_1,25.1,68.9,0.7
2021-06-09,Region_1,21.6,56.9,2.3
2021-06-10,Region_1,24.6,57.2,3.1
2021-06-11,Region_1,20.6,59.1,2.6
2021-06-12,Region_1,23.5,48.9,0.1
2021-06-13,Region_1,19.7,57.2,1.5
2021-06-14,Region_1,23.5,59.3,0.9
2021-06-15,Region_1,21.4,53.0,1.9
2021-06-16,Region_1,19.5,62.9,1.4
2021-06-17,Region_1,20.8,58.6,2.0
2021-06-18,Region_1,22.3,56.0,3.0
2021-06-19,Region_1,22.6,48.4,1.3
2021-06-20,Region_1,19.6,57.5,0.1
2021-06-21,Region_1,21.0,62.4,0.3
2021-06-22,Region_1,19.1,51.9,0.3
2021-06-23,Region_1,20.2,48.1,3.0
2021-06-24,Region_1,18.9,55.6,8.5
2021-06-25,Region_1,16.5,60.2,0.8
2021-06-26,Region_1,16.9,56.6,5.0
2021-06-27,Region_1,16.0,58.3,1.0
2021-06-28,Region_1,19.2,68.9,2.5
2021-06-29,Region_1,18.3,62.9,4.4
2021-06-30,Region_1,18.6,65.3,6.7
2021-07-01,Region_1,16.6,52.9,11.4
2021-07-02,Region_1,16.2,56.9,1.3
2021-07-03,Region_1,16.2,57.5,1.7
2021-07-04,Region_1,16.4,59.2,7.3
2021-07-05,Region_1,15.6,55.7,3.1
2021-07-06,Region_1,14.8,55.1,0.8
2021-07-07,Region_1,13.4,63.7,0.1
2021-07-08,Region_1,15.6,63.3,2.2
2021-07-09,Region_1,14.2,64.1,8.7
2021-07-10,Region_1,12.1,58.1,7.8
2021-07-11,Region_1,14.7,50.7,0.8
2021-07-12,Region_1,14.8,72.4,8.0
2021-07-13,Region_1,12.3,59.6,7.6
2021-07-14,Region_1,12.6,52.9,2.5
2021-07-15,Region_1,15.8,62.2,3.3
2021-07-16,Region_1,10.8,70.1,2.5
2021-07-17,Region_1,12.7,72.3,0.5
2021-07-18,Region_1,7.8,67.8,4.4
2021-07-19,Region_1,10.4,60.2,0.7
2021-07-20,Region_1,10.0,68.9,1.1
2021-07-21,Region_1,11.9,69.3,4.5
2021-07-22,Region_1,9.4,63.1,2.4
2021-07-23,Region_1,10.5,65.9,5.6
2021-07-24,Region_1,10.6,64.5,3.6
2021-07-25,Region_1,9.5,58.0,1.8
2021-07-26,Region_1,6.2,63.1,3.5
2021-07-27,Region_1,11.5,61.8,1.2
2021-07-28,Region_1,5.8,69.6,6.8
